duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,department_change,division_change,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KFwqA=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KFwp8=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KFwp4=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,ASIAN,U,A,35_to_39,35_to_39,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KFwp0=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwqY=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,50_to_54,50_to_54,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwqU=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwqM=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwqI=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,HISPA,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwp8=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KEwp0=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwqY=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwqU=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwqM=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwqI=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwqA=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_Cl8KDwp0=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwqY=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwqU=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwqM=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwqI=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,M,HISPA,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwqE=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,HISPA,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwp8=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKMwp4=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKLwqU=,Retirement
48,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKLwqQ=,Retirement
48,.under_1,Self Sufficiency,19.5237,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0,0,0.0,48.36549768518518,wop7wp_ClsKLwqM=,Retirement
