duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
30,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,30.0,wop6wqbCmcKMwqQ=,IV Termination
169,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,169.0,wop6wqbCmcKMwp8=,V Termination
238,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.003699029411764713,238.0,wop6wqbCmcKLwqY=,V Termination
54,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,54.0,wop6wqbCmcKLwqU=,V Termination
254,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.003466019685039377,254.0,wop6wqbCmcKLwqQ=,V Termination
2,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,2.0,wop6wqbCmcKLwqM=,V Termination
20,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,20.0,wop6wqbCmcKLwp0=,IV Termination
142,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,.under_29,Staff,0.0,142.0,wop6wqbCmcKKwqA=,V Termination
13,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,13.0,wop6wqbCmcKKwp0=,V Termination
111,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,111.0,wop6wqbCmcKJwqQ=,IV Termination
103,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,103.0,wop6wqbCmcKIwqQ=,V Termination
127,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,127.0,wop6wqbCmcKIwqM=,V Termination
177,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,177.0,wop6wqbCmcKIwqI=,V Termination
127,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.006932039370078754,127.0,wop6wqbCmcKIwqA=,V Termination
182,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,182.0,wop6wqbCmcKIwp4=,V Termination
30,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,30.0,wop6wqbCmcKHwqE=,IV Termination
225,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0039127511111111185,225.0,wop6wqbCmcKHwp4=,V Termination
206,.under_1,Other,17.7957,2,,NSPEC,,,,,Staff,0.008684466019417483,129.0,wop6wqbCmcKGwqM=,V Termination
54,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0,54.0,wop6wqbCmcKGwqI=,V Termination
257,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,257.0,wop6wqbCmcKGwqE=,V Termination
147,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,50_to_54,50_to_54,Staff,0.005988904761904773,147.0,wop6wqbCmcKFwqY=,V Termination
40,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,40.0,wop6wqbCmcKFwqU=,V Termination
163,.under_1,Adult Services,17.3409,1,M,NSPEC,U,A,55_to_59,55_to_59,Staff,0.0,163.0,wop6wqbCmMKMwqI=,V Termination
176,.under_1,Self Sufficiency,16.887069,2,M,2PLUS,U,A,40_to_44,40_to_44,Staff,0.0050020965909091004,176.0,wop6wqbCmMKLwqY=,IV Termination
138,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.00637948550724639,138.0,wop6wqbCmMKLwqM=,V Termination
281,.under_1,Children Services,28.9199,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,281.0,wop6wqbCmMKJwqE=,V Termination
128,.under_1,Self Sufficiency,15.416,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,128.0,wop6wqbCmMKEwqE=,V Termination
247,.under_1,Self Sufficiency,15.416,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,247.0,wop6wqbCl8KLwqA=,V Termination
216,.under_1,Adult Services,15.416,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,216.0,wop6wqbCl8KDwqU=,V Termination
105,.under_1,Self Sufficiency,15.416,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,105.0,wop6wqbClsKMwp8=,V Termination
152,.under_1,Adult Services,28.92,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,152.0,wop6wqbClcKIwqQ=,IV Termination
